,Uniprot Number,Subcellular Location
1954,P54646    ,Cytoplasm
1956,P54646    ,Cytosol
1971,P54646    ,Nucleoplasm
1973,P54646    ,Nuclear Speck
1974,P54646    ,Golgi Apparatus
1975,P54646    ,Cell
1987,Q15139    ,Golgi Apparatus
1988,Q15139    ,Autophagosome Membrane
1989,Q15139    ,Plasma Membrane
1990,Q15139    ,Cytosol
1992,Q15139    ,Trans-Golgi Network
1996,Q15139    ,Cytoplasm
1997,Q15139    ,Membrane
2004,Q9BZL6    ,Nucleus
2005,Q9BZL6    ,Cytoplasm
2006,Q9BZL6    ,Golgi Apparatus
2007,Q9BZL6    ,Membrane
2008,Q9BZL6    ,Plasma Membrane
2015,Q9BZL6    ,Cytosol
2017,Q9BZL6    ,Nucleoplasm
2019,O94806    ,Cytosol
2021,O94806    ,Nucleoplasm
2022,O94806    ,Cytoplasm
2023,O94806    ,Membrane
2027,P11801    ,Nucleoplasm
2028,P11801    ,Nucleus
2029,P11801    ,Endoplasmic Reticulum
2030,P11801    ,Membrane
2031,P11801    ,Golgi Apparatus
2032,P11801    ,Cytoplasm
2033,P11801    ,Cytoskeleton
2034,P11801    ,Plasma Membrane
2036,P11801    ,Endoplasmic Reticulum Membrane
2037,P11801    ,Nuclear Speck
2040,P11801    ,Microtubule Organizing Center
2044,P57059    ,Cytoplasm
2046,P57059    ,Nucleus
2054,A0A0B4J2F2,Cytoplasm
2055,A0A0B4J2F2,Nucleus
2057,Q9H0K1    ,Cytoplasm
2059,Q9H0K1    ,Nucleus
2063,Q9Y2K2    ,Cytoplasm
2067,Q9NRH2    ,Nucleus
2069,Q9NRH2    ,Cytoplasm
2074,Q15772    ,Nucleus
2079,Q15831    ,Membrane
2080,Q15831    ,Nucleus
2081,Q15831    ,Mitochondrion
2082,Q15831    ,Cytoplasm
2087,Q15831    ,Extracellular Exosome
2089,Q15831    ,Cytosol
2099,Q15831    ,Nucleoplasm
2116,Q9UEE5    ,Nucleus
2118,Q9UEE5    ,Nuclear Speck
2119,Q9UEE5    ,Plasma Membrane
2123,O94768    ,Plasma Membrane
2124,O94768    ,Nucleus
2125,O94768    ,Endoplasmic Reticulum-Golgi Intermediate Compartment
2129,O94768    ,Actin Cytoskeleton
2132,O94768    ,Membrane
2134,Q9BYT3    ,Cytoplasm
2135,Q9BYT3    ,Nucleus
2137,Q9BYT3    ,Perinuclear Region Of Cytoplasm
2139,Q8N2I9    ,Cytosol
2140,Q8N2I9    ,Nucleoplasm
2141,Q8N2I9    ,Nucleus
2142,Q8N2I9    ,Cytoplasm
2146,Q96RU8    ,Cytoplasm
2147,Q96RU8    ,Nucleus
2150,Q92519    ,Cytoplasm
2151,Q92519    ,Cytoskeleton
2155,Q92519    ,Nucleus
2157,Q96RU7    ,Nucleus
2159,Q96RU7    ,Plasma Membrane
2161,Q96RU7    ,Cytosol
2162,Q96RU7    ,Nucleoplasm
2166,O75962    ,Cell Projection
2167,O75962    ,Cytoplasm
2170,O75962    ,Cytosol
2179,Q9BXA7    ,Motile Cilium
2180,Q9BXA7    ,Cytoplasm
2181,Q9BXA7    ,Nucleus
2183,Q9BXA7    ,Cilium
2186,Q9BXA7    ,Cell Projection
2187,Q9BXA7    ,Cytoplasmic Vesicle
2190,Q9BXA7    ,Acrosomal Vesicle
2192,Q96PF2    ,Nucleus
2193,Q96PF2    ,Cytoplasm
2196,Q96PF2    ,Centriole
2198,Q96PF2    ,Acrosomal Vesicle
2199,Q96PF2    ,Cytoskeleton
2204,Q96PN8    ,Cytoplasm
2205,Q96PN8    ,Nucleus
2207,Q6SA08    ,Cytoplasm
2208,Q6SA08    ,Nucleus
2209,Q6SA08    ,Sperm Flagellum
2210,Q6SA08    ,Motile Cilium
2211,Q6SA08    ,Cell Projection
2213,Q6SA08    ,Cytoplasmic Vesicle
2214,Q6SA08    ,Cilium
2216,Q6SA08    ,Acrosomal Vesicle
2218,Q9BXA6    ,Nucleus
2219,Q9BXA6    ,Cytoplasm
2222,Q8WZ42    ,Extracellular Exosome
2223,Q8WZ42    ,I Band
2224,Q8WZ42    ,Z Disc
2225,Q8WZ42    ,Condensed Nuclear Chromosome
2227,Q8WZ42    ,M Band
2229,Q8WZ42    ,Sarcomere
2230,Q8WZ42    ,Striated Muscle Thin Filament
2231,Q8WZ42    ,Cytosol
2236,Q8WZ42    ,Extracellular Region
2238,Q8WZ42    ,Cytoplasm
2239,Q8WZ42    ,Nucleus
2246,P48729    ,Ciliary Basal Body
2247,P48729    ,Beta-Catenin Destruction Complex
2248,P48729    ,Keratin Filament
2249,P48729    ,Membrane
2250,P48729    ,Nuclear Speck
2251,P48729    ,Centrosome
2252,P48729    ,Cytoplasm
2253,P48729    ,Nucleus
2254,P48729    ,Cilium
2255,P48729    ,Cytosol
2278,P48729    ,Ribonucleoprotein Complex
2280,P48729    ,Cytoskeleton
2282,P48729    ,Cell Projection
2283,P48729    ,Chromosome
2284,P48729    ,Centromeric Region
2286,P48729    ,Kinetochore
2290,P48729    ,Microtubule Organizing Center
2291,P48729    ,Condensed Chromosome Kinetochore
2293,Q8N752    ,Cytoplasm
2294,Q8N752    ,Nucleus
2295,Q8N752    ,Cytosol
2299,P48730    ,Cytoskeleton
2300,P48730    ,Golgi Apparatus
2301,P48730    ,Membrane
2302,P48730    ,Cytoplasm
2303,P48730    ,Plasma Membrane
2304,P48730    ,Nucleus
2305,P48730    ,Perinuclear Region Of Cytoplasm
2309,P48730    ,Microtubule Organizing Center
2310,P48730    ,Spindle
2314,P48730    ,Spindle Microtubule
2316,P48730    ,Centrosome
2323,P48730    ,Endoplasmic Reticulum-Golgi Intermediate Compartment Membrane
2324,P48730    ,Cytosol
2347,P48730    ,Nucleoplasm
2348,P48730    ,Golgi Membrane
2350,P49674    ,Cytoplasm
2351,P49674    ,Nucleus
2354,P49674    ,Cytosol
2378,P49674    ,Nucleoplasm
2384,Q9HCP0    ,Plasma Membrane
2385,Q9HCP0    ,Cytoplasm
2386,Q9HCP0    ,Nucleus
2387,Q9HCP0    ,Cytosol
2391,P78368    ,Membrane
2392,P78368    ,Plasma Membrane
2393,P78368    ,Cytoplasm
2394,P78368    ,Nucleus
2395,P78368    ,Cytosol
2399,Q9Y6M4    ,Plasma Membrane
2400,Q9Y6M4    ,Cytoplasm
2401,Q9Y6M4    ,Nucleus
2405,Q5TCY1    ,Neuronal Cell Body
2406,Q5TCY1    ,Perinuclear Region Of Cytoplasm
2407,Q5TCY1    ,Microtubule Associated Complex
2408,Q5TCY1    ,Nucleus
2409,Q5TCY1    ,Cytoplasm
2410,Q5TCY1    ,Cytosol
2411,Q5TCY1    ,Nucleoplasm
2417,Q6IQ55    ,Centriole
2418,Q6IQ55    ,Ciliary Transition Zone
2419,Q6IQ55    ,Extracellular Space
2420,Q6IQ55    ,Ciliary Basal Body
2422,Q6IQ55    ,Cytosol
2423,Q6IQ55    ,Nucleus
2426,Q6IQ55    ,Cytoplasm
2434,Q6IQ55    ,Cytoskeleton
2437,Q6IQ55    ,Cilium
2438,Q6IQ55    ,Cell Projection
2444,Q99986    ,Nucleus
2445,Q99986    ,Golgi Stack
2446,Q99986    ,Cytoplasm
2448,Q99986    ,Cytosol
2449,Q99986    ,Nucleoplasm
2451,Q99986    ,Nucleolus
2456,Q99986    ,Cytoskeleton
2457,Q99986    ,Spindle
2461,Q86Y07    ,Nuclear Envelope
2462,Q86Y07    ,Mitochondrial Membrane
2463,Q86Y07    ,Endoplasmic Reticulum Membrane
2464,Q86Y07    ,Cytoplasm
2465,Q86Y07    ,Nucleus
2468,Q86Y07    ,Protein-Containing Complex
2469,Q86Y07    ,Endoplasmic Reticulum
2470,Q86Y07    ,Membrane
2473,Q86Y07    ,Mitochondrion
2474,Q86Y07    ,Integral Component Of Membrane
2485,Q8IV63    ,Nucleus
2486,Q8IV63    ,Cytoplasm
2488,Q8IV63    ,Intracellular Membrane-Bounded Organelle
2489,Q8IV63    ,Nucleolus
2490,Q8IV63    ,Nucleoplasm
2495,P06493    ,Nucleus
2496,P06493    ,Cytoplasm
2497,P06493    ,Cyclin-Dependent Protein Kinase Holoenzyme Complex
2498,P06493    ,Nuclear Chromosome
2499,P06493    ,Telomeric Region
2500,P06493    ,Membrane
2501,P06493    ,Extracellular Exosome
2502,P06493    ,Mitochondrial Matrix
2503,P06493    ,Mitotic Spindle
2504,P06493    ,Midbody
2505,P06493    ,Spindle Microtubule
2506,P06493    ,Centrosome
2507,P06493    ,Mitochondrion
2509,P06493    ,Cytosol
2554,P06493    ,Endoplasmic Reticulum Membrane
2555,P06493    ,Nucleoplasm
2585,P06493    ,Cytoskeleton
2589,P06493    ,Spindle
2590,P06493    ,Microtubule Organizing Center
2595,Q15131    ,Ciliary Basal Body
2596,Q15131    ,Nucleus
2597,Q15131    ,Cytoplasm
2598,Q15131    ,Cell Projection
2599,Q15131    ,Cytoskeleton
2601,Q9UQ88    ,Nucleus
2604,Q9UQ88    ,Cytoplasm
2608,P21127    ,Cytoplasm
2609,P21127    ,Nucleus
2616,Q9NYV4    ,Nuclear Speck
2617,Q9NYV4    ,Nucleus
2618,Q9NYV4    ,Nuclear Chromatin
2619,Q9NYV4    ,Cyclin-Dependent Protein Kinase Holoenzyme Complex
2620,Q9NYV4    ,Nucleoplasm
2630,Q14004    ,Extracellular Space
2631,Q14004    ,Nuclear Speck
2632,Q14004    ,Chromosome
2633,Q14004    ,Nucleus
2634,Q14004    ,Nuclear Chromatin
2635,Q14004    ,Cyclin-Dependent Protein Kinase Holoenzyme Complex
2636,Q14004    ,Nucleoplasm
2637,Q14004    ,Extracellular Region
2639,Q14004    ,Cytosol
2640,Q14004    ,Golgi Apparatus
2644,O94921    ,Cytoplasm
2645,O94921    ,Nucleus
2646,O94921    ,Plasma Membrane
2648,O94921    ,Cytosol
2652,O94921    ,Nucleoplasm
2659,O94921    ,Membrane
2664,Q96Q40    ,Cytosol
2665,Q96Q40    ,Cytoplasm
2666,Q96Q40    ,Nucleus
2668,Q00536    ,Cytoplasmic Vesicle
2669,Q00536    ,Neuron Projection
2670,Q00536    ,Plasma Membrane
2671,Q00536    ,Cell Junction
2672,Q00536    ,Membrane
2673,Q00536    ,Cytoplasm
2674,Q00536    ,Synapse
2675,Q00536    ,Transport Vesicle
2679,Q00536    ,Synaptic Vesicle
2683,Q00536    ,Nucleus
2684,Q00536    ,Microtubule Cytoskeleton
2686,Q00536    ,Cytosol
2689,Q00537    ,Cytoplasm
2690,Q00537    ,Nucleus
2692,Q07002    ,Cytoplasm
2693,Q07002    ,Nucleus
2695,Q9BWU1    ,Mediator Complex
2696,Q9BWU1    ,Cytosol
2697,Q9BWU1    ,Nucleus
2701,P24941    ,Cyclin-Dependent Protein Kinase Holoenzyme Complex
2702,P24941    ,Nucleoplasm
2703,P24941    ,Cajal Body
2704,P24941    ,Centrosome
2705,P24941    ,Endosome
2706,P24941    ,Cytoplasm
2707,P24941    ,Nucleus
2712,P24941    ,Cytosol
2758,P24941    ,Transcription Factor Complex
2760,P24941    ,Y Chromosome
2761,P24941    ,X Chromosome
2762,P24941    ,Condensed Chromosome
2763,P24941    ,Chromosome
2764,P24941    ,Telomeric Region
2766,P24941    ,Cytoskeleton
2770,P24941    ,Microtubule Organizing Center
2775,Q8IZL9    ,Nucleus
2776,Q8IZL9    ,Nucleoplasm
2777,Q8IZL9    ,Cell Projection
2778,Q8IZL9    ,Cilium
2779,Q8IZL9    ,Cytoplasm
2785,Q00526    ,Nucleus
2787,P11802    ,Nucleus
2788,P11802    ,Cyclin-Dependent Protein Kinase Holoenzyme Complex
2789,P11802    ,Nuclear Membrane
2790,P11802    ,Cytosol
2791,P11802    ,Nucleolus
2793,P11802    ,Chromatin
2804,P11802    ,Nucleoplasm
2822,P11802    ,Protein-Containing Complex
2823,P11802    ,Bicellular Tight Junction
2824,P11802    ,Cytoplasm
2825,P11802    ,Transcription Factor Complex
2828,P11802    ,Perinuclear Region Of Cytoplasm
2832,P11802    ,Membrane
2837,Q00535    ,Neuron Projection
2838,Q00535    ,Growth Cone
2839,Q00535    ,Membrane
2840,Q00535    ,Microtubule
2841,Q00535    ,Cytoplasm
2842,Q00535    ,Neuronal Cell Body
2843,Q00535    ,Neuromuscular Junction
2845,Q00535    ,Dendrite
2846,Q00535    ,Axon
2848,Q00535    ,Postsynaptic Density
2850,Q00535    ,Nucleus
2853,Q00535    ,Cytosol
2861,Q00535    ,Nucleoplasm
2864,Q00535    ,Plasma Membrane
2866,Q00535    ,Cell
2868,Q00535    ,Filopodium
2869,Q00535    ,Lamellipodium
2873,Q00535    ,Glutamatergic Synapse
2874,Q00535    ,Postsynapse
2875,Q00535    ,Presynapse
2885,Q00535    ,Cytoskeleton
2888,Q00535    ,Cell Projection
2889,Q00535    ,Cell Junction
2894,Q00535    ,Synapse
2900,Q00535    ,Perikaryon
2903,Q00534    ,Nucleus
2904,Q00534    ,Cytoskeleton
2905,Q00534    ,Cytoplasm
2906,Q00534    ,Cell Projection
2907,Q00534    ,Ruffle
2910,Q00534    ,Microtubule Organizing Center
2911,Q00534    ,Centrosome
2915,Q00534    ,Cyclin-Dependent Protein Kinase Holoenzyme Complex
2917,Q00534    ,Cytosol
2922,Q00534    ,Nucleoplasm
2926,P50613    ,Nucleus
2927,P50613    ,Transcription Factor Tfiih Holo Complex
2928,P50613    ,Transcription Factor Tfiik Complex
2929,P50613    ,Cytoplasm
2931,P50613    ,Nucleoplasm
3007,P50613    ,Perinuclear Region Of Cytoplasm
3010,P49336    ,Mediator Complex
3011,P49336    ,Nucleus
3012,P49336    ,Nucleoplasm
3020,P49336    ,Protein-Containing Complex
3022,P49336    ,Nucleolus
3028,P50750    ,Cytoplasm
3029,P50750    ,Nucleus
3032,P50750    ,Pml Body
3033,P50750    ,Transcription Elongation Factor Complex
3034,P50750    ,Membrane
3037,P50750    ,Chromosome
3039,P50750    ,Nuclear Chromatin
3040,P50750    ,Cyclin-Dependent Protein Kinase Holoenzyme Complex
3041,P50750    ,Nucleoplasm
3070,P50750    ,Cytoplasmic Ribonucleoprotein Granule
3075,Q00532    ,Ciliary Transition Zone
3076,Q00532    ,Extracellular Exosome
3077,Q00532    ,Nucleus
3078,Q00532    ,Intracellular Membrane-Bounded Organelle
3079,Q00532    ,Nucleoplasm
3080,Q00532    ,Cytoplasm
3085,Q92772    ,Nucleus
3086,Q92772    ,Centrosome
3087,Q92772    ,Nucleoplasm
3089,Q92772    ,Cytoplasm
3093,Q8IVW4    ,Cytoplasm
3094,Q8IVW4    ,Nucleus
3097,Q5MAI5    ,Cytoplasm
3099,Q5MAI5    ,Nucleus
3101,O76039    ,Centrosome
3102,O76039    ,Ciliary Basal Body
3103,O76039    ,Ciliary Tip
3104,O76039    ,Dendritic Growth Cone
3105,O76039    ,Dendrite Cytoplasm
3106,O76039    ,Ruffle Membrane
3107,O76039    ,Nucleus
3108,O76039    ,Glutamatergic Synapse
3116,O76039    ,Postsynaptic Density
3117,O76039    ,Intracellular Component
3119,O76039    ,Perinuclear Region Of Cytoplasm
3120,O76039    ,Synapse
3124,O76039    ,Cell Projection
3126,O76039    ,Cytoskeleton
3127,O76039    ,Cytoplasm
3128,O76039    ,Microtubule Organizing Center
3131,P49759    ,Nucleus
3132,P49759    ,Cytoplasm
3136,P49760    ,Nuclear Speck
3137,P49760    ,Nucleus
3140,P49760    ,Nuclear Body
3141,P49760    ,Nucleoplasm
3145,P49761    ,Membrane
3146,P49761    ,Nucleus
3147,P49761    ,Intermediate Filament Cytoskeleton
3148,P49761    ,Nucleoplasm
3150,P49761    ,Cytoplasm
3152,P49761    ,Acrosomal Vesicle
3154,P49761    ,Nuclear Speck
3156,P49761    ,Cytoplasmic Vesicle
3158,Q9HAZ1    ,Nucleus
3162,Q13627    ,Dendrite
3163,Q13627    ,Axon
3164,Q13627    ,Cytoplasm
3165,Q13627    ,Nucleus
3168,Q13627    ,Nuclear Speck
3170,Q13627    ,Cytoskeleton
3176,Q13627    ,Nucleoplasm
3179,Q13627    ,Ribonucleoprotein Complex
3188,Q13627    ,Neurofilament
3189,Q13627    ,Actin Filament
3190,Q13627    ,Microtubule
3192,Q9Y463    ,Nucleus
3196,Q9Y463    ,Nucleoplasm
3198,Q92630    ,Cytoplasm
3201,Q92630    ,Nucleus
3202,Q92630    ,Ubiquitin Ligase Complex
3203,Q92630    ,Cytoskeleton
3206,Q92630    ,Nucleoplasm
3209,Q92630    ,Cytosol
3211,Q92630    ,Ribonucleoprotein Complex
3217,O43781    ,Cytoplasm
3218,O43781    ,Microtubule Organizing Center
3219,O43781    ,Nuclear Speck
3220,O43781    ,Nucleus
3221,O43781    ,Cytoplasmic Stress Granule
3223,O43781    ,Pericentriolar Material
3228,O43781    ,Cytoskeleton
3231,O43781    ,Intracellular Membrane-Bounded Organelle
3232,O43781    ,Cytosol
3233,O43781    ,Nucleoplasm
3238,Q9NR20    ,Cytoskeleton
3239,Q9NR20    ,Cytoplasm
3240,Q9NR20    ,Nucleus
3241,Q9NR20    ,Intracellular Membrane-Bounded Organelle
3247,P49840    ,Mitochondrion
3249,P49840    ,Postsynapse
3250,P49840    ,Microtubule
3251,P49840    ,Cytoplasm
3252,P49840    ,Apical Dendrite
3253,P49840    ,Neuronal Cell Body
3254,P49840    ,Proximal Dendrite
3255,P49840    ,Beta-Catenin Destruction Complex
3256,P49840    ,Cytosol
3258,P49840    ,Axon
3261,P49840    ,Nucleus
3265,P49841    ,Cytoplasm
3266,P49841    ,Nucleus
3268,P49841    ,Plasma Membrane
3270,P49841    ,Centrosome
3271,P49841    ,Wnt Signalosome
3272,P49841    ,Beta-Catenin Destruction Complex
3273,P49841    ,Dendrite
3274,P49841    ,Axon
3287,P49841    ,Glutamatergic Synapse
3295,P49841    ,Cytosol
3329,P49841    ,Nucleoplasm
3334,P49841    ,Mitochondrion
3335,P49841    ,Postsynapse
3336,P49841    ,Membrane
3339,Q86Z02    ,Cytoplasm
3340,Q86Z02    ,Nucleus
3343,Q86Z02    ,Pml Body
3346,Q86Z02    ,Nucleoplasm
3347,Q86Z02    ,Cytosol
3348,Q86Z02    ,Centrosome
3350,Q86Z02    ,Nuclear Speck
3359,Q9H2X6    ,Rna Polymerase Ii Transcription Factor Complex
3360,Q9H2X6    ,Nucleus
3361,Q9H2X6    ,Pml Body
3363,Q9H2X6    ,Nuclear Body
3365,Q9H2X6    ,Cytoplasm
3370,Q9H2X6    ,Nucleoplasm
3384,Q9H422    ,Pml Body
3385,Q9H422    ,Cytoplasm
3386,Q9H422    ,Nucleus
3387,Q9H422    ,Nuclear Body
3388,Q9H422    ,Cytosol
3396,Q8NE63    ,Cytoplasm
3399,Q8NE63    ,Nucleus
3403,Q9UPZ9    ,Nucleus
3404,Q9UPZ9    ,Ciliary Base
3405,Q9UPZ9    ,Cilium
3407,Q9UPZ9    ,Ciliary Basal Body
3408,Q9UPZ9    ,Ciliary Tip
3410,Q9UPZ9    ,Cytoplasm
3412,Q9UPZ9    ,Fibrillar Center
3418,Q9UPZ9    ,Cell Projection
3419,Q9UPZ9    ,Cytoskeleton
3422,Q9UPZ9    ,Cytosol
3427,P20794    ,Spindle
3428,P20794    ,Photoreceptor Inner Segment
3429,P20794    ,Photoreceptor Outer Segment
3430,P20794    ,Nucleus
3431,P20794    ,Microtubule Organizing Center
3432,P20794    ,Midbody
3433,P20794    ,Mitotic Spindle
3435,P20794    ,Centrosome
3439,P20794    ,Cilium
3440,P20794    ,Cytoplasm
3442,P20794    ,Photoreceptor Connecting Cilium
3443,P20794    ,Motile Cilium
3444,P20794    ,Axoneme
3448,P20794    ,Cell Projection
3449,P20794    ,Cytoskeleton
3452,P28482    ,Cytoplasm
3453,P28482    ,Cytoskeleton
3454,P28482    ,Membrane
3455,P28482    ,Nucleus
3457,P28482    ,Caveola
3458,P28482    ,Microtubule Organizing Center
3460,P28482    ,Spindle
3462,P28482    ,Plasma Membrane
3465,P28482    ,Mitotic Spindle
3466,P28482    ,Focal Adhesion
3469,P28482    ,Cytosol
3470,P28482    ,Golgi Apparatus
3471,P28482    ,Late Endosome
3472,P28482    ,Early Endosome
3473,P28482    ,Mitochondrion
3480,P28482    ,Azurophil Granule Lumen
3538,P28482    ,Nucleoplasm
3549,P28482    ,Extracellular Region
3551,P28482    ,Cell
3552,P28482    ,Pseudopodium
3557,P28482    ,Perikaryon
3558,P28482    ,Protein-Containing Complex
3559,P28482    ,Dendrite Cytoplasm
3560,P28482    ,Axon
3561,P28482    ,Postsynaptic Density
3568,P53779    ,Plasma Membrane
3569,P53779    ,Mitochondrion
3570,P53779    ,Cytoplasm
3571,P53779    ,Nucleus
3573,P53779    ,Nucleoplasm
3574,P53779    ,Cytosol
3578,P53779    ,Glutamatergic Synapse
3579,P53779    ,Perikaryon
3580,P53779    ,Neuron Projection
3584,P53779    ,Membrane
3591,Q15759    ,Cytoplasm
3592,Q15759    ,Nucleus
3593,Q15759    ,Cytosol
3599,Q15759    ,Nucleoplasm
3615,P53778    ,Cytoplasm
3616,P53778    ,Nucleus
3617,P53778    ,Cytosol
3620,P53778    ,Nucleoplasm
3622,P53778    ,Mitochondrion
3630,O15264    ,Cytoplasm
3631,O15264    ,Nucleus
3632,O15264    ,Cytosol
3635,Q16539    ,Cytoplasm
3636,Q16539    ,Nucleus
3641,Q16539    ,Nucleoplasm
3643,Q16539    ,Extracellular Region
3645,Q16539    ,Secretory Granule Lumen
3646,Q16539    ,Cytosol
3664,Q16539    ,Nuclear Speck
3666,Q16539    ,Glutamatergic Synapse
3668,Q16539    ,Mitochondrion
3671,Q16539    ,Cell
3672,Q16539    ,Spindle Pole
3678,Q8TD08    ,Nucleus
3679,Q8TD08    ,Cytoplasm
3680,Q8TD08    ,Cell-Cell Junction
3681,Q8TD08    ,Axoneme
3682,Q8TD08    ,Ciliary Basal Body
3685,Q8TD08    ,Centriole
3686,Q8TD08    ,Autophagosome
3687,Q8TD08    ,Golgi Apparatus
3688,Q8TD08    ,Extracellular Region
3691,Q8TD08    ,Meiotic Spindle
3692,Q8TD08    ,Cell Projection
3695,Q8TD08    ,Cytoplasmic Vesicle
3696,Q8TD08    ,Bicellular Tight Junction
3697,Q8TD08    ,Cytoskeleton
3698,Q8TD08    ,Cell Junction
3706,Q8TD08    ,Spindle
3708,P27361    ,Caveola
3709,P27361    ,Plasma Membrane
3710,P27361    ,Cytoplasm
3711,P27361    ,Nuclear Envelope
3712,P27361    ,Focal Adhesion
3714,P27361    ,Cytoskeleton
3715,P27361    ,Cytosol
3716,P27361    ,Golgi Apparatus
3717,P27361    ,Late Endosome
3718,P27361    ,Early Endosome
3719,P27361    ,Mitochondrion
3720,P27361    ,Nucleus
3781,P27361    ,Nucleoplasm
3792,P27361    ,Cell
3793,P27361    ,Protein-Containing Complex
3800,P27361    ,Pseudopodium
3805,P27361    ,Membrane
3810,P31152    ,Cytoplasm
3811,P31152    ,Nucleus
3818,P31152    ,Cytosol
3823,P31152    ,Nucleoplasm
3831,Q16659    ,Nucleus
3833,Q16659    ,Cytoplasm
3839,Q16659    ,Cytosol
3849,Q16659    ,Nucleoplasm
3861,Q16659    ,Protein-Containing Complex
3862,Q16659    ,Septin Cytoskeleton
3866,Q13164    ,Cytosol
3867,Q13164    ,Nucleus
3868,Q13164    ,Pml Body
3869,Q13164    ,Cytoplasm
3876,Q13164    ,Nucleoplasm
3889,P45983    ,Synapse
3890,P45983    ,Basal Dendrite
3891,P45983    ,Axon
3892,P45983    ,Nucleus
3893,P45983    ,Cytoplasm
3895,P45983    ,Cytosol
3904,P45983    ,Nucleoplasm
3909,P45983    ,Mitochondrion
3916,P45984    ,Cytoplasm
3917,P45984    ,Nucleus
3918,P45984    ,Cytosol
3920,P45984    ,Nucleoplasm
3924,P45984    ,Mitochondrion
3931,Q9UQ07    ,Ciliary Base
3932,Q9UQ07    ,Cilium
3933,Q9UQ07    ,Nucleus
3934,Q9UQ07    ,Cytoplasm
3942,Q9UQ07    ,Cell Projection
3947,Q9UBE8    ,Nucleus
3948,Q9UBE8    ,Cytoplasm
3955,Q9UBE8    ,Cytosol
3958,Q9UBE8    ,Nucleoplasm
3962,Q13523    ,Nucleus
3963,Q13523    ,Nuclear Speck
3964,Q13523    ,Chromosome
3965,Q13523    ,Spliceosomal Complex
3969,Q96SB4    ,Nucleus
3970,Q96SB4    ,Cytoplasm
3974,Q96SB4    ,Plasma Membrane
3975,Q96SB4    ,Cytosol
3976,Q96SB4    ,Nucleoplasm
3977,Q96SB4    ,Intracellular Membrane-Bounded Organelle
3980,Q96SB4    ,Endoplasmic Reticulum
3984,Q96SB4    ,Nuclear Matrix
3986,P78362    ,Cytoplasm
3987,P78362    ,Nucleus
3990,P78362    ,Cytosol
3991,P78362    ,Nucleolus
3992,P78362    ,Nucleoplasm
3998,Q9UPE1    ,Cytoplasm
3999,Q9UPE1    ,Nucleus
4001,Q96PY6        ,Centrosome
4002,Q96PY6        ,Pericentriolar Material
4003,Q96PY6        ,Cytoplasm
4005,Q96PY6        ,Nucleus
4006,Q96PY6        ,Centriolar Satellite
4007,Q96PY6        ,Cytosol
4008,Q96PY6        ,Nucleoplasm
4009,Q96PY6        ,Cytoskeleton
4013,Q96PY6        ,Microtubule Organizing Center
4016,Q6ZWH5        ,Protein Kinase Complex
4018,Q8NG66        ,Nucleolus
4019,Q8NG66        ,Centrosome
4020,Q8NG66        ,Cytoplasm
4021,Q8NG66        ,Nucleoplasm
4024,Q8NG66        ,Nucleus
4027,P51955        ,Microtubule
4028,P51955        ,Cytoskeleton
4029,P51955        ,Cytoplasm
4030,P51955        ,Chromosome
4031,P51955        ,Centromeric Region
4032,P51955        ,Nucleus
4033,P51955        ,Kinetochore
4037,P51955        ,Microtubule Organizing Center
4039,P51955        ,Condensed Chromosome Kinetochore
4040,P51955        ,Nucleolus
4042,P51955        ,Spindle Pole
4043,P51955        ,Centrosome
4045,P51955        ,Protein-Containing Complex
4051,P51955        ,Cytosol
4077,P51955        ,Nucleoplasm
4078,P51955        ,Midbody
4080,P51955        ,Condensed Nuclear Chromosome
4082,P51956        ,Nucleus
4083,P51956        ,Cytoplasm
4085,P51956        ,Cell Projection
4086,P51956        ,Axon
4088,P51957        ,Cytoplasm
4090,P51957        ,Cytosol
4091,P51957        ,Ciliary Plasm
4092,P51957        ,Ciliary Basal Body
4093,P51957        ,Ciliary Transition Zone
4094,P51957        ,Ciliary Rootlet
4096,P51957        ,Cell Projection
4097,P51957        ,Cilium
4102,Q9HC98        ,Cytoplasm
4103,Q9HC98        ,Cytoskeleton
4105,Q9HC98        ,Microtubule
4106,Q9HC98        ,Nucleus
4107,Q9HC98        ,Microtubule Organizing Center
4108,Q9HC98        ,Nuclear Speck
4110,Q9HC98        ,Spindle Pole
4112,Q9HC98        ,Centrosome
4113,Q9HC98        ,Protein-Containing Complex
4116,Q9HC98        ,Cytosol
4119,Q9HC98        ,Intracellular Membrane-Bounded Organelle
4120,Q9HC98        ,Centriolar Satellite
4122,Q9HC98        ,Nucleoplasm
4124,Q8TDX7        ,Cytoplasm
4125,Q8TDX7        ,Nucleoplasm
4127,Q8TDX7        ,Nucleus
4129,Q8TDX7        ,Microtubule
4130,Q8TDX7        ,Cytoskeleton
4134,Q8TDX7        ,Microtubule Organizing Center
4135,Q8TDX7        ,Spindle Pole
4137,Q86SG6        ,Cilium
4140,Q86SG6        ,Centrosome
4141,Q86SG6        ,Cytoplasm
4142,Q86SG6        ,Ciliary Base
4143,Q86SG6        ,Ciliary Inversin Compartment
4145,Q86SG6        ,Cytoskeleton
4147,Q86SG6        ,Cell Projection
4150,Q86SG6        ,Microtubule Organizing Center
4154,Q8TD19        ,Centrosome
4155,Q8TD19        ,Cytosol
4160,Q8TD19        ,Nucleus
4161,Q8TD19        ,Cytoplasm
