,Gene Name,Uniprot Number,Subcellular Location
1810,CDK8,P49336,Protein-Containing Complex
1812,CDK8,P49336,Nucleolus
1818,CDK9,P50750,Cytoplasm
1819,CDK9,P50750,Nucleus
1822,CDK9,P50750,Pml Body
1823,CDK9,P50750,Transcription Elongation Factor Complex
1824,CDK9,P50750,Membrane
1827,CDK9,P50750,Chromosome
1829,CDK9,P50750,Nuclear Chromatin
1830,CDK9,P50750,Cyclin-Dependent Protein Kinase Holoenzyme Complex
1831,CDK9,P50750,Nucleoplasm
1860,CDK9,P50750,Cytoplasmic Ribonucleoprotein Granule
1865,CDKL1,Q00532,Ciliary Transition Zone
1866,CDKL1,Q00532,Extracellular Exosome
1867,CDKL1,Q00532,Nucleus
1868,CDKL1,Q00532,Intracellular Membrane-Bounded Organelle
1869,CDKL1,Q00532,Nucleoplasm
1870,CDKL1,Q00532,Cytoplasm
1875,CDKL2,Q92772,Nucleus
1876,CDKL2,Q92772,Centrosome
1877,CDKL2,Q92772,Nucleoplasm
1879,CDKL2,Q92772,Cytoplasm
1883,CDKL3,Q8IVW4,Cytoplasm
1884,CDKL3,Q8IVW4,Nucleus
1887,CDKL4,Q5MAI5,Cytoplasm
1889,CDKL4,Q5MAI5,Nucleus
1891,CDKL5,O76039,Centrosome
1892,CDKL5,O76039,Ciliary Basal Body
1893,CDKL5,O76039,Ciliary Tip
1894,CDKL5,O76039,Dendritic Growth Cone
1895,CDKL5,O76039,Dendrite Cytoplasm
1896,CDKL5,O76039,Ruffle Membrane
1897,CDKL5,O76039,Nucleus
1898,CDKL5,O76039,Glutamatergic Synapse
1906,CDKL5,O76039,Postsynaptic Density
1907,CDKL5,O76039,Intracellular Component
1909,CDKL5,O76039,Perinuclear Region Of Cytoplasm
1910,CDKL5,O76039,Synapse
1914,CDKL5,O76039,Cell Projection
1916,CDKL5,O76039,Cytoskeleton
1917,CDKL5,O76039,Cytoplasm
1918,CDKL5,O76039,Microtubule Organizing Center
1921,CHEK1,O14757,Protein-Containing Complex
1922,CHEK1,O14757,Cytoplasm
1923,CHEK1,O14757,Nucleus
1924,CHEK1,O14757,Extracellular Space
1925,CHEK1,O14757,Chromosome
1926,CHEK1,O14757,Telomeric Region
1927,CHEK1,O14757,Centrosome
1930,CHEK1,O14757,Condensed Nuclear Chromosome
1931,CHEK1,O14757,Chromatin
1934,CHEK1,O14757,Cytosol
1935,CHEK1,O14757,Nucleoplasm
1944,CHEK1,O14757,Intracellular Membrane-Bounded Organelle
1948,CHEK1,O14757,Cytoskeleton
1951,CHEK1,O14757,Microtubule Organizing Center
1953,CHEK2,O96017,Chromosome
1954,CHEK2,O96017,Telomeric Region
1955,CHEK2,O96017,Pml Body
1956,CHEK2,O96017,Cytoplasm
1957,CHEK2,O96017,Nucleus
1958,CHEK2,O96017,Nucleoplasm
1968,CHEK2,O96017,Golgi Apparatus
1976,CHUK,O15111,Cytoplasm
1978,CHUK,O15111,Cytoplasmic Side Of Plasma Membrane
1979,CHUK,O15111,Ikappab Kinase Complex
1982,CHUK,O15111,Cytosol
2015,CHUK,O15111,Intracellular Membrane-Bounded Organelle
2017,CHUK,O15111,Nucleoplasm
2019,CHUK,O15111,Nucleus
2026,CIT,O14578,Cytoplasm
2028,CIT,O14578,Membrane
2029,CIT,O14578,Cleavage Furrow
2030,CIT,O14578,Actin Cytoskeleton
2031,CIT,O14578,Cytoskeleton
2033,CIT,O14578,Cytosol
2036,CLK1,P49759,Nucleus
2037,CLK1,P49759,Cytoplasm
2041,CLK2,P49760,Nuclear Speck
2042,CLK2,P49760,Nucleus
2045,CLK2,P49760,Nuclear Body
2046,CLK2,P49760,Nucleoplasm
2050,CLK3,P49761,Membrane
2051,CLK3,P49761,Nucleus
2052,CLK3,P49761,Intermediate Filament Cytoskeleton
2053,CLK3,P49761,Nucleoplasm
2055,CLK3,P49761,Cytoplasm
2057,CLK3,P49761,Acrosomal Vesicle
2059,CLK3,P49761,Nuclear Speck
2061,CLK3,P49761,Cytoplasmic Vesicle
2063,CLK4,Q9HAZ1,Nucleus
2067,COQ8A,Q8NI60,Mitochondrion
2068,COQ8A,Q8NI60,Extrinsic Component Of Mitochondrial Inner Membrane
2071,COQ8A,Q8NI60,Integral Component Of Membrane
2074,COQ8A,Q8NI60,Membrane
2078,COQ8B,Q96D53,Mitochondrion
2079,COQ8B,Q96D53,Plasma Membrane
2080,COQ8B,Q96D53,Cytoplasm
2081,COQ8B,Q96D53,Membrane
2083,COQ8B,Q96D53,Integral Component Of Membrane
2085,COQ8B,Q96D53,Mitochondrial Membrane
2086,COQ8B,Q96D53,Cytosol
2087,COQ8B,Q96D53,Extrinsic Component Of Mitochondrial Inner Membrane
2091,CSF1R,P07333,Plasma Membrane
2092,CSF1R,P07333,Cell Surface
2093,CSF1R,P07333,Integral Component Of Plasma Membrane
2096,CSF1R,P07333,Receptor Complex
2101,CSF1R,P07333,Intracellular Membrane-Bounded Organelle
2103,CSF1R,P07333,Nucleoplasm
2104,CSF1R,P07333,Membrane
2107,CSF1R,P07333,Integral Component Of Membrane
2111,CSK,P41240,Cytoplasm
2112,CSK,P41240,Extracellular Exosome
2114,CSK,P41240,Plasma Membrane
2116,CSK,P41240,Cytosol
2129,CSK,P41240,Membrane Raft
2131,CSK,P41240,Cell-Cell Junction
2133,CSK,P41240,Membrane
2138,CSNK1A1,P48729,Ciliary Basal Body
2139,CSNK1A1,P48729,Beta-Catenin Destruction Complex
2140,CSNK1A1,P48729,Keratin Filament
2141,CSNK1A1,P48729,Membrane
2142,CSNK1A1,P48729,Nuclear Speck
2143,CSNK1A1,P48729,Centrosome
2144,CSNK1A1,P48729,Cytoplasm
2145,CSNK1A1,P48729,Nucleus
2146,CSNK1A1,P48729,Cilium
2147,CSNK1A1,P48729,Cytosol
2170,CSNK1A1,P48729,Ribonucleoprotein Complex
2172,CSNK1A1,P48729,Cytoskeleton
2174,CSNK1A1,P48729,Cell Projection
2175,CSNK1A1,P48729,Chromosome
2176,CSNK1A1,P48729,Centromeric Region
2178,CSNK1A1,P48729,Kinetochore
2182,CSNK1A1,P48729,Microtubule Organizing Center
2183,CSNK1A1,P48729,Condensed Chromosome Kinetochore
2185,CSNK1A1L,Q8N752,Cytoplasm
2186,CSNK1A1L,Q8N752,Nucleus
2187,CSNK1A1L,Q8N752,Cytosol
2191,CSNK1D,P48730,Cytoskeleton
2192,CSNK1D,P48730,Golgi Apparatus
2193,CSNK1D,P48730,Membrane
2194,CSNK1D,P48730,Cytoplasm
2195,CSNK1D,P48730,Plasma Membrane
2196,CSNK1D,P48730,Nucleus
2197,CSNK1D,P48730,Perinuclear Region Of Cytoplasm
2201,CSNK1D,P48730,Microtubule Organizing Center
2202,CSNK1D,P48730,Spindle
2206,CSNK1D,P48730,Spindle Microtubule
2208,CSNK1D,P48730,Centrosome
2215,CSNK1D,P48730,Endoplasmic Reticulum-Golgi Intermediate Compartment Membrane
2216,CSNK1D,P48730,Cytosol
2239,CSNK1D,P48730,Nucleoplasm
2240,CSNK1D,P48730,Golgi Membrane
2242,CSNK1E,P49674,Cytoplasm
2243,CSNK1E,P49674,Nucleus
2246,CSNK1E,P49674,Cytosol
2270,CSNK1E,P49674,Nucleoplasm
2276,CSNK1G1,Q9HCP0,Plasma Membrane
2277,CSNK1G1,Q9HCP0,Cytoplasm
2278,CSNK1G1,Q9HCP0,Nucleus
2279,CSNK1G1,Q9HCP0,Cytosol
2283,CSNK1G2,P78368,Membrane
2284,CSNK1G2,P78368,Plasma Membrane
2285,CSNK1G2,P78368,Cytoplasm
2286,CSNK1G2,P78368,Nucleus
2287,CSNK1G2,P78368,Cytosol
2291,CSNK1G3,Q9Y6M4,Plasma Membrane
2292,CSNK1G3,Q9Y6M4,Cytoplasm
2293,CSNK1G3,Q9Y6M4,Nucleus
2297,CSNK2A1,P68400,Nucleus
2300,CSNK2A1,P68400,Plasma Membrane
2302,CSNK2A1,P68400,Nurd Complex
2303,CSNK2A1,P68400,Pcg Protein Complex
2305,CSNK2A1,P68400,Cytosol
2314,CSNK2A1,P68400,Nucleoplasm
2318,CSNK2A2,P19784,Nucleus
2319,CSNK2A2,P19784,Pcg Protein Complex
2322,CSNK2A2,P19784,Cytosol
2329,CSNK2A2,P19784,Nucleoplasm
2331,CSNK2A2,P19784,Plasma Membrane
2332,CSNK2A2,P19784,Cytoplasm
2334,CSNK2A2,P19784,Acrosomal Vesicle
2335,CSNK2A2,P19784,Chromatin
2337,CSNK2A3,Q8NEV1,Cytosol
2338,CSNK2A3,Q8NEV1,Nucleus
2339,CSNK2A3,Q8NEV1,Nucleoplasm
2341,DAPK1,P53355,Plasma Membrane
2342,DAPK1,P53355,Cytoplasm
2343,DAPK1,P53355,Actin Cytoskeleton
2344,DAPK1,P53355,Nucleus
2346,DAPK1,P53355,Cytoskeleton
2351,DAPK2,Q9UIK4,Cytoplasm
2354,DAPK2,Q9UIK4,Nucleus
2355,DAPK2,Q9UIK4,Intracellular Membrane-Bounded Organelle
2356,DAPK2,Q9UIK4,Golgi Apparatus
2358,DAPK2,Q9UIK4,Cytoplasmic Vesicle
2359,DAPK2,Q9UIK4,Autophagosome Lumen
2362,DAPK3,O43293,Pml Body
2363,DAPK3,O43293,Nucleus
2364,DAPK3,O43293,Membrane Raft
2365,DAPK3,O43293,Actin Filament
2366,DAPK3,O43293,Cytoplasm
2376,DAPK3,O43293,Nucleoplasm
2378,DCLK1,O15075,Integral Component Of Plasma Membrane
2379,DCLK1,O15075,Postsynaptic Density
2381,DCLK2,Q8N568,Microtubule
2382,DCLK2,Q8N568,Cytoplasm
2383,DCLK2,Q8N568,Cytoskeleton
2386,DCLK3,Q9C098,Cytoplasm
2387,DCLK3,Q9C098,Nucleus
2395,DDR1,Q08345,Extracellular Exosome
2396,DDR1,Q08345,Extracellular Space
2397,DDR1,Q08345,Integral Component Of Plasma Membrane
2398,DDR1,Q08345,Receptor Complex
2400,DDR1,Q08345,Plasma Membrane
2404,DDR1,Q08345,Membrane
2406,DDR1,Q08345,Integral Component Of Membrane
2408,DDR1,Q08345,Extracellular Region
2412,DDR2,Q16832,Focal Adhesion
2413,DDR2,Q16832,Integral Component Of Plasma Membrane
2414,DDR2,Q16832,Receptor Complex
2416,DDR2,Q16832,Plasma Membrane
2417,DDR2,Q16832,Actin Cytoskeleton
2419,DDR2,Q16832,Apical Plasma Membrane
2421,DDR2,Q16832,Membrane
2424,DDR2,Q16832,Integral Component Of Membrane
2427,DMPK,Q09013,Mitochondrion
2428,DMPK,Q09013,Nucleus
2429,DMPK,Q09013,Membrane
2430,DMPK,Q09013,Endoplasmic Reticulum
2431,DMPK,Q09013,Integral Component Of Membrane
2432,DMPK,Q09013,Sarcoplasmic Reticulum
2433,DMPK,Q09013,Plasma Membrane
2434,DMPK,Q09013,Mitochondrial Outer Membrane
2435,DMPK,Q09013,Cytoplasm
2436,DMPK,Q09013,Nuclear Outer Membrane
2439,DMPK,Q09013,Sarcoplasmic Reticulum Membrane
2440,DMPK,Q09013,Cytosol
2441,DMPK,Q09013,Endoplasmic Reticulum Membrane
2442,DMPK,Q09013,Mitochondrial Membrane
2444,DMPK,Q09013,Nuclear Membrane
2445,DMPK,Q09013,Integral Component Of Mitochondrial Outer Membrane
2454,DMPK,Q09013,Cell
2462,DSTYK,Q6XUX3,Cell Junction
2463,DSTYK,Q6XUX3,Cytoplasm
2464,DSTYK,Q6XUX3,Membrane
2465,DSTYK,Q6XUX3,Plasma Membrane
2467,DSTYK,Q6XUX3,Basolateral Plasma Membrane
2470,DSTYK,Q6XUX3,Apical Plasma Membrane
2478,DYRK1A,Q13627,Dendrite
2479,DYRK1A,Q13627,Axon
2480,DYRK1A,Q13627,Cytoplasm
2481,DYRK1A,Q13627,Nucleus
2484,DYRK1A,Q13627,Nuclear Speck
2486,DYRK1A,Q13627,Cytoskeleton
2492,DYRK1A,Q13627,Nucleoplasm
2495,DYRK1A,Q13627,Ribonucleoprotein Complex
2504,DYRK1A,Q13627,Neurofilament
2505,DYRK1A,Q13627,Actin Filament
2506,DYRK1A,Q13627,Microtubule
2508,DYRK1B,Q9Y463,Nucleus
2512,DYRK1B,Q9Y463,Nucleoplasm
2514,DYRK2,Q92630,Cytoplasm
2517,DYRK2,Q92630,Nucleus
2518,DYRK2,Q92630,Ubiquitin Ligase Complex
2519,DYRK2,Q92630,Cytoskeleton
2522,DYRK2,Q92630,Nucleoplasm
2525,DYRK2,Q92630,Cytosol
2527,DYRK2,Q92630,Ribonucleoprotein Complex
2533,DYRK3,O43781,Cytoplasm
2534,DYRK3,O43781,Microtubule Organizing Center
2535,DYRK3,O43781,Nuclear Speck
2536,DYRK3,O43781,Nucleus
2537,DYRK3,O43781,Cytoplasmic Stress Granule
2539,DYRK3,O43781,Pericentriolar Material
2544,DYRK3,O43781,Cytoskeleton
2547,DYRK3,O43781,Intracellular Membrane-Bounded Organelle
2548,DYRK3,O43781,Cytosol
2549,DYRK3,O43781,Nucleoplasm
2554,DYRK4,Q9NR20,Cytoskeleton
2555,DYRK4,Q9NR20,Cytoplasm
2556,DYRK4,Q9NR20,Nucleus
2557,DYRK4,Q9NR20,Intracellular Membrane-Bounded Organelle
2563,EEF2K,O00418,Cytoplasm
2564,EEF2K,O00418,Cytosol
2565,EEF2K,O00418,Dendritic Spine
2566,EEF2K,O00418,Postsynaptic Density
2568,EGFR,P00533,Extracellular Region
2569,EGFR,P00533,Integral Component Of Membrane
2570,EGFR,P00533,Endosome
2571,EGFR,P00533,Golgi Apparatus
2572,EGFR,P00533,Endoplasmic Reticulum
2573,EGFR,P00533,Plasma Membrane
2574,EGFR,P00533,Membrane
2575,EGFR,P00533,Nucleus
2577,EGFR,P00533,Endoplasmic Reticulum Membrane
2579,EGFR,P00533,Nuclear Membrane
2581,EGFR,P00533,Golgi Membrane
2582,EGFR,P00533,Endosome Membrane
2584,EGFR,P00533,Membrane Raft
2585,EGFR,P00533,Perinuclear Region Of Cytoplasm
2586,EGFR,P00533,Cytoplasm
2588,EGFR,P00533,Protein-Containing Complex
2592,EGFR,P00533,Cell Surface
2593,EGFR,P00533,Multivesicular Body
2594,EGFR,P00533,Internal Vesicle Lumen
2595,EGFR,P00533,Early Endosome Membrane
2597,EGFR,P00533,Focal Adhesion
2599,EGFR,P00533,Shc-Egfr Complex
2600,EGFR,P00533,Basolateral Plasma Membrane
2611,EGFR,P00533,Extracellular Space
2612,EGFR,P00533,Receptor Complex
2613,EGFR,P00533,Basal Plasma Membrane
2614,EGFR,P00533,Integral Component Of Plasma Membrane
2615,EGFR,P00533,Clathrin-Coated Vesicle Membrane
2750,EGFR,P00533,Cell Junction
2752,EGFR,P00533,Synapse
2754,EGFR,P00533,Endocytic Vesicle
2755,EGFR,P00533,Apical Plasma Membrane
2769,EIF2AK1,Q9BQI3,Cytoplasm
2773,EIF2AK2,P19525,Nucleus
2774,EIF2AK2,P19525,Perinuclear Region Of Cytoplasm
2775,EIF2AK2,P19525,Cytoplasm
2776,EIF2AK2,P19525,Ribosome
2777,EIF2AK2,P19525,Membrane
2780,EIF2AK2,P19525,Cytosol
2785,EIF2AK3,Q9NZJ5,Integral Component Of Endoplasmic Reticulum Membrane
2787,EIF2AK3,Q9NZJ5,Membrane
2788,EIF2AK3,Q9NZJ5,Endoplasmic Reticulum Membrane
2790,EIF2AK3,Q9NZJ5,Endoplasmic Reticulum
2793,EIF2AK3,Q9NZJ5,Cytoplasm
2797,EIF2AK3,Q9NZJ5,Perinuclear Region Of Cytoplasm
2798,EIF2AK3,Q9NZJ5,Integral Component Of Membrane
2803,EIF2AK4,Q9P2K8,Polysome
2804,EIF2AK4,Q9P2K8,Cytosolic Ribosome
2805,EIF2AK4,Q9P2K8,Cytoplasm
2808,EPHA1,P21709,Integral Component Of Plasma Membrane
2809,EPHA1,P21709,Receptor Complex
2810,EPHA1,P21709,Dendritic Spine
2811,EPHA1,P21709,Neuron Projection
2813,EPHA1,P21709,Plasma Membrane
2826,EPHA1,P21709,Integral Component Of Membrane
2829,EPHA1,P21709,Membrane
2832,EPHA10,Q5JZY3,Receptor Complex
2833,EPHA10,Q5JZY3,Neuron Projection
2834,EPHA10,Q5JZY3,Integral Component Of Plasma Membrane
2835,EPHA10,Q5JZY3,Plasma Membrane
2847,EPHA10,Q5JZY3,Integral Component Of Membrane
2849,EPHA10,Q5JZY3,Extracellular Region
2851,EPHA10,Q5JZY3,Membrane
2857,EPHA2,P29317,Integral Component Of Plasma Membrane
2858,EPHA2,P29317,Integral Component Of Membrane
2859,EPHA2,P29317,Membrane
2861,EPHA2,P29317,Cell Junction
2862,EPHA2,P29317,Cell Projection
2863,EPHA2,P29317,Plasma Membrane
2865,EPHA2,P29317,Focal Adhesion
2866,EPHA2,P29317,Lamellipodium Membrane
2867,EPHA2,P29317,Ruffle Membrane
2868,EPHA2,P29317,Tight Junction
2869,EPHA2,P29317,Lamellipodium
2870,EPHA2,P29317,Cell Surface
2873,EPHA2,P29317,Leading Edge Membrane
2879,EPHA2,P29317,Receptor Complex
2880,EPHA2,P29317,Neuron Projection
2895,EPHA3,P29320,Integral Component Of Plasma Membrane
2896,EPHA3,P29320,Integral Component Of Membrane
2897,EPHA3,P29320,Extracellular Region
2898,EPHA3,P29320,Plasma Membrane
2899,EPHA3,P29320,Membrane
2905,EPHA3,P29320,Early Endosome
2906,EPHA3,P29320,Receptor Complex
2907,EPHA3,P29320,Neuron Projection
2920,EPHA3,P29320,Nuclear Membrane
2921,EPHA3,P29320,Actin Cytoskeleton
2923,EPHA3,P29320,Cytosol
2924,EPHA3,P29320,Nucleoplasm
2926,EPHA4,P54764,Plasma Membrane
2927,EPHA4,P54764,Dendritic Shaft
2928,EPHA4,P54764,Dendritic Spine
2929,EPHA4,P54764,Early Endosome Membrane
2930,EPHA4,P54764,Dendrite
2931,EPHA4,P54764,Axon
2932,EPHA4,P54764,Integral Component Of Plasma Membrane
2933,EPHA4,P54764,Cytoplasm
2934,EPHA4,P54764,Receptor Complex
2936,EPHA4,P54764,Neuron Projection
2949,EPHA4,P54764,Glutamatergic Synapse
2950,EPHA4,P54764,Cell Body
2951,EPHA4,P54764,Axonal Growth Cone
2952,EPHA4,P54764,Axon Terminus
2953,EPHA4,P54764,Perikaryon
2956,EPHA4,P54764,Cell Projection
2957,EPHA4,P54764,Neuromuscular Junction
2959,EPHA4,P54764,Filopodium
2960,EPHA4,P54764,Postsynaptic Density
2961,EPHA4,P54764,Cell Surface
2964,EPHA4,P54764,Golgi Apparatus
2965,EPHA4,P54764,Endoplasmic Reticulum
2966,EPHA4,P54764,Mitochondrial Outer Membrane
2968,EPHA4,P54764,Integral Component Of Presynaptic Membrane
2969,EPHA4,P54764,Integral Component Of Postsynaptic Membrane
2976,EPHA4,P54764,Integral Component Of Membrane
2977,EPHA4,P54764,Postsynaptic Membrane
2979,EPHA4,P54764,Membrane
2981,EPHA4,P54764,Endosome
2982,EPHA4,P54764,Cell Junction
2984,EPHA4,P54764,Synapse
2986,EPHA4,P54764,Early Endosome
2987,EPHA4,P54764,Adherens Junction
2990,EPHA4,P54764,Postsynaptic Density Membrane
2992,EPHA5,P54756,Integral Component Of Plasma Membrane
2993,EPHA5,P54756,Integral Component Of Membrane
2994,EPHA5,P54756,Plasma Membrane
2995,EPHA5,P54756,Cell Projection
2996,EPHA5,P54756,Membrane
2999,EPHA5,P54756,Dendrite
3000,EPHA5,P54756,Axon
3003,EPHA5,P54756,Perinuclear Region Of Cytoplasm
3004,EPHA5,P54756,Neuronal Cell Body
3006,EPHA5,P54756,External Side Of Plasma Membrane
3008,EPHA5,P54756,Rough Endoplasmic Reticulum
3009,EPHA5,P54756,Receptor Complex
3010,EPHA5,P54756,Neuron Projection
3024,EPHA6,Q9UF33,Membrane
3025,EPHA6,Q9UF33,Receptor Complex
3026,EPHA6,Q9UF33,Neuron Projection
3027,EPHA6,Q9UF33,Integral Component Of Plasma Membrane
3028,EPHA6,Q9UF33,Plasma Membrane
3039,EPHA6,Q9UF33,Nucleoplasm
3041,EPHA6,Q9UF33,Integral Component Of Membrane
3045,EPHA7,Q15375,Integral Component Of Postsynaptic Density Membrane
3046,EPHA7,Q15375,Integral Component Of Postsynaptic Specialization Membrane
3047,EPHA7,Q15375,Glutamatergic Synapse
3048,EPHA7,Q15375,Postsynaptic Membrane
3049,EPHA7,Q15375,Neuronal Cell Body
3050,EPHA7,Q15375,Neuromuscular Junction
3051,EPHA7,Q15375,Dendrite
3053,EPHA7,Q15375,Integral Component Of Plasma Membrane
3054,EPHA7,Q15375,Integral Component Of Membrane
3056,EPHA7,Q15375,Membrane
3057,EPHA7,Q15375,Plasma Membrane
3059,EPHA7,Q15375,Receptor Complex
3060,EPHA7,Q15375,Neuron Projection
3074,EPHA8,P29322,Neuron Projection
3075,EPHA8,P29322,Integral Component Of Plasma Membrane
3076,EPHA8,P29322,Receptor Complex
3079,EPHA8,P29322,Plasma Membrane
3093,EPHA8,P29322,Integral Component Of Membrane
3096,EPHA8,P29322,Cell Projection
3097,EPHA8,P29322,Membrane
3098,EPHA8,P29322,Endosome
3099,EPHA8,P29322,Early Endosome Membrane
3103,EPHB1,P54762,Integral Component Of Plasma Membrane
3104,EPHB1,P54762,Integral Component Of Membrane
3105,EPHB1,P54762,Plasma Membrane
3107,EPHB1,P54762,Membrane
3108,EPHB1,P54762,Cell Projection
3109,EPHB1,P54762,Endosome
3110,EPHB1,P54762,Early Endosome Membrane
3112,EPHB1,P54762,Dendrite
3113,EPHB1,P54762,Extracellular Exosome
3117,EPHB1,P54762,Receptor Complex
3150,EPHB1,P54762,Cytosol
3151,EPHB1,P54762,Extracellular Region
3154,EPHB1,P54762,Endoplasmic Reticulum
3155,EPHB1,P54762,Glutamatergic Synapse
3156,EPHB1,P54762,Membrane Raft
3157,EPHB1,P54762,Filopodium Tip
3158,EPHB1,P54762,Axon
3160,EPHB1,P54762,Cytoplasm
3162,EPHB2,P29323,Postsynapse
3163,EPHB2,P29323,Dendrite
3164,EPHB2,P29323,Axon
3165,EPHB2,P29323,Integral Component Of Plasma Membrane
3166,EPHB2,P29323,Receptor Complex
3168,EPHB2,P29323,Plasma Membrane
3199,EPHB2,P29323,Cytosol
3200,EPHB2,P29323,Extracellular Region
3202,EPHB2,P29323,Nucleoplasm
3203,EPHB2,P29323,Integral Component Of Presynaptic Membrane
3204,EPHB2,P29323,Integral Component Of Postsynaptic Membrane
3205,EPHB2,P29323,Glutamatergic Synapse
3206,EPHB2,P29323,Neuronal Cell Body
3212,EPHB2,P29323,Integral Component Of Membrane
3215,EPHB2,P29323,Membrane
3216,EPHB2,P29323,Cell Projection
3221,EPHB3,P54753,Integral Component Of Plasma Membrane
3223,EPHB3,P54753,Receptor Complex
3225,EPHB3,P54753,Plasma Membrane
3256,EPHB3,P54753,Cytosol
3257,EPHB3,P54753,Extracellular Region
3259,EPHB3,P54753,Integral Component Of Membrane
3261,EPHB3,P54753,Membrane
3262,EPHB3,P54753,Cell Projection
3264,EPHB3,P54753,Dendrite
3267,EPHB4,P54760,Extracellular Exosome
3268,EPHB4,P54760,Integral Component Of Plasma Membrane
3269,EPHB4,P54760,Receptor Complex
3271,EPHB4,P54760,Plasma Membrane
3302,EPHB4,P54760,Cytosol
3303,EPHB4,P54760,Extracellular Region
3305,EPHB4,P54760,Integral Component Of Membrane
3306,EPHB4,P54760,Membrane
3311,EPHB6,O15197,Receptor Complex
3312,EPHB6,O15197,Integral Component Of Plasma Membrane
3313,EPHB6,O15197,Plasma Membrane
3344,EPHB6,O15197,Cytosol
3345,EPHB6,O15197,Extracellular Region
3347,EPHB6,O15197,Integral Component Of Membrane
3348,EPHB6,O15197,Membrane
3354,ERBB2,P04626,Membrane
3355,ERBB2,P04626,Integral Component Of Membrane
3356,ERBB2,P04626,Cytoplasm
3358,ERBB2,P04626,Plasma Membrane
3359,ERBB2,P04626,Nucleus
3360,ERBB2,P04626,Endosome
3363,ERBB2,P04626,Perinuclear Region Of Cytoplasm
3364,ERBB2,P04626,Early Endosome
3368,ERBB2,P04626,Receptor Complex
3370,ERBB2,P04626,Basolateral Plasma Membrane
3372,ERBB2,P04626,Endosome Membrane
3377,ERBB2,P04626,Basal Plasma Membrane
3378,ERBB2,P04626,Integral Component Of Plasma Membrane
3419,ERBB2,P04626,Cytosol
3420,ERBB2,P04626,Myelin Sheath
3421,ERBB2,P04626,Cytoplasmic Vesicle
3422,ERBB2,P04626,Apical Plasma Membrane
3426,ERBB3,P21860,Integral Component Of Plasma Membrane
3427,ERBB3,P21860,Receptor Complex
3428,ERBB3,P21860,Basolateral Plasma Membrane
3429,ERBB3,P21860,Plasma Membrane
3430,ERBB3,P21860,Extracellular Space
3432,ERBB3,P21860,Basal Plasma Membrane
3459,ERBB3,P21860,Lateral Plasma Membrane
3460,ERBB3,P21860,Apical Plasma Membrane
3461,ERBB3,P21860,Membrane
3462,ERBB3,P21860,Integral Component Of Membrane
3463,ERBB3,P21860,Extracellular Region
3470,ERBB4,Q15303,Postsynaptic Membrane
3471,ERBB4,Q15303,Basolateral Plasma Membrane
3472,ERBB4,Q15303,Mitochondrion
3473,ERBB4,Q15303,Nucleus
3474,ERBB4,Q15303,Receptor Complex
3475,ERBB4,Q15303,Basal Plasma Membrane
3476,ERBB4,Q15303,Integral Component Of Plasma Membrane
3477,ERBB4,Q15303,Plasma Membrane
3510,ERBB4,Q15303,Cytosol
3524,ERBB4,Q15303,Mitochondrial Matrix
3525,ERBB4,Q15303,Nucleoplasm
3535,ERBB4,Q15303,Extracellular Region
3537,ERBB4,Q15303,Integral Component Of Postsynaptic Density Membrane
3538,ERBB4,Q15303,Integral Component Of Presynaptic Membrane
3539,ERBB4,Q15303,Gaba-Ergic Synapse
3540,ERBB4,Q15303,Glutamatergic Synapse
3541,ERBB4,Q15303,Membrane
3542,ERBB4,Q15303,Integral Component Of Membrane
3552,ERN1,O75460,Endoplasmic Reticulum
3553,ERN1,O75460,Cytoplasm
3554,ERN1,O75460,Integral Component Of Endoplasmic Reticulum Membrane
3555,ERN1,O75460,Endoplasmic Reticulum Membrane
3560,ERN1,O75460,Cell
3562,ERN1,O75460,Mitochondrion
3563,ERN1,O75460,Nuclear Inner Membrane
3564,ERN1,O75460,Integral Component Of Membrane
3565,ERN1,O75460,Membrane
3569,ERN2,Q76MJ5,Endoplasmic Reticulum Membrane
3570,ERN2,Q76MJ5,Integral Component Of Membrane
3571,ERN2,Q76MJ5,Membrane
3572,ERN2,Q76MJ5,Endoplasmic Reticulum
3575,FASTK,Q14296,Mitochondrion
3576,FASTK,Q14296,Mitochondrial Matrix
3578,FER,P16591,Cell Junction
3579,FER,P16591,Nucleus
3580,FER,P16591,Cytoskeleton
3581,FER,P16591,Plasma Membrane
3582,FER,P16591,Cell Projection
3583,FER,P16591,Membrane
3584,FER,P16591,Cytoplasm
3592,FER,P16591,Cell Cortex
3594,FER,P16591,Lamellipodium
3595,FER,P16591,Microtubule Cytoskeleton
3596,FER,P16591,Actin Cytoskeleton
3599,FER,P16591,Nuclear Chromatin
3600,FER,P16591,Cytosol
3603,FES,P07332,Plasma Membrane
3604,FES,P07332,Golgi Apparatus
3605,FES,P07332,Membrane
3606,FES,P07332,Cytoplasmic Vesicle
3608,FES,P07332,Microtubule Cytoskeleton
3609,FES,P07332,Focal Adhesion
3610,FES,P07332,Cytoplasm
3611,FES,P07332,Cytosol
3618,FES,P07332,Cell Junction
3619,FES,P07332,Cytoskeleton
3626,FGFR1,P11362,Integral Component Of Plasma Membrane
3627,FGFR1,P11362,Integral Component Of Membrane
3630,FGFR1,P11362,Plasma Membrane
3631,FGFR1,P11362,Extracellular Region
3632,FGFR1,P11362,Receptor Complex
3696,FGFR1,P11362,Cytosol
3697,FGFR1,P11362,Nucleus
