Uniprot_number,Gene_name,Protein_name,Gene_aliases,Uniprot_entry
Q13163,MAP2K5,Dual specificity mitogen-activated protein kinase kinase 5,"['MAP2K5', 'MEK5', 'MKK5', 'PRKMK5']",MP2K5_HUMAN
P52564,MAP2K6,Dual specificity mitogen-activated protein kinase kinase 6,"['MAP2K6', 'MEK6', 'MKK6', 'PRKMK6', 'SKK3']",MP2K6_HUMAN
O14733,MAP2K7,Dual specificity mitogen-activated protein kinase kinase 7,"['MAP2K7', 'JNKK2', 'MEK7', 'MKK7', 'PRKMK7', 'SKK4']",MP2K7_HUMAN
Q13233,MAP3K1,Mitogen-activated protein kinase kinase kinase 1,"['MAP3K1', 'MAPKKK1', 'MEKK', 'MEKK1']",M3K1_HUMAN
Q02779,MAP3K10,Mitogen-activated protein kinase kinase kinase 10,"['MAP3K10', 'MLK2', 'MST']",M3K10_HUMAN
Q16584,MAP3K11,Mitogen-activated protein kinase kinase kinase 11,"['MAP3K11', 'MLK3', 'PTK1', 'SPRK']",M3K11_HUMAN
Q12852,MAP3K12,Mitogen-activated protein kinase kinase kinase 12,"['MAP3K12', 'ZPK']",M3K12_HUMAN
O43283,MAP3K13,Mitogen-activated protein kinase kinase kinase 13,"['MAP3K13', 'LZK']",M3K13_HUMAN
Q99558,MAP3K14,Mitogen-activated protein kinase kinase kinase 14,"['MAP3K14', 'NIK']",M3K14_HUMAN
Q6ZN16,MAP3K15,Mitogen-activated protein kinase kinase kinase 15,"['MAP3K15', 'ASK3']",M3K15_HUMAN
Q56UN5,MAP3K19,Mitogen-activated protein kinase kinase kinase 19,"['MAP3K19', 'RCK', 'YSK4']",M3K19_HUMAN
Q9Y2U5,MAP3K2,Mitogen-activated protein kinase kinase kinase 2,"['MAP3K2', 'MAPKKK2', 'MEKK2']",M3K2_HUMAN
Q9NYL2,MAP3K20,Mitogen-activated protein kinase kinase kinase 20,"['MAP3K20', 'MLTK', 'ZAK', 'HCCS4']",M3K20_HUMAN
Q5TCX8,MAP3K21,Mitogen-activated protein kinase kinase kinase 21,"['MAP3K21', 'KIAA1804', 'MLK4']",M3K21_HUMAN
Q99759,MAP3K3,Mitogen-activated protein kinase kinase kinase 3,"['MAP3K3', 'MAPKKK3', 'MEKK3']",M3K3_HUMAN
Q9Y6R4,MAP3K4,Mitogen-activated protein kinase kinase kinase 4,"['MAP3K4', 'KIAA0213', 'MAPKKK4', 'MEKK4', 'MTK1']",M3K4_HUMAN
Q99683,MAP3K5,Mitogen-activated protein kinase kinase kinase 5,"['MAP3K5', 'ASK1', 'MAPKKK5', 'MEKK5']",M3K5_HUMAN
O95382,MAP3K6,Mitogen-activated protein kinase kinase kinase 6,"['MAP3K6', 'ASK2', 'MAPKKK6', 'MEKK6']",M3K6_HUMAN
O43318,MAP3K7,Mitogen-activated protein kinase kinase kinase 7,"['MAP3K7', 'TAK1']",M3K7_HUMAN
P41279,MAP3K8,Mitogen-activated protein kinase kinase kinase 8,"['MAP3K8', 'COT', 'ESTF']",M3K8_HUMAN
P80192,MAP3K9,Mitogen-activated protein kinase kinase kinase 9,"['MAP3K9', 'MLK1', 'PRKE1']",M3K9_HUMAN
Q92918,MAP4K1,Mitogen-activated protein kinase kinase kinase kinase 1,"['MAP4K1', 'HPK1']",M4K1_HUMAN
Q12851,MAP4K2,Mitogen-activated protein kinase kinase kinase kinase 2,"['MAP4K2', 'GCK', 'RAB8IP']",M4K2_HUMAN
Q8IVH8,MAP4K3,Mitogen-activated protein kinase kinase kinase kinase 3,"['MAP4K3', 'RAB8IPL1']",M4K3_HUMAN
O95819,MAP4K4,Mitogen-activated protein kinase kinase kinase kinase 4,"['MAP4K4', 'HGK', 'KIAA0687', 'NIK']",M4K4_HUMAN
Q9Y4K4,MAP4K5,Mitogen-activated protein kinase kinase kinase kinase 5,['MAP4K5'],M4K5_HUMAN
Q8N4C8,MINK1,Misshapen-like kinase 1,"['MINK1', 'B55', 'MAP4K6', 'MINK', 'YSK2', 'ZC3']",MINK1_HUMAN
Q8NEV4,MYO3A,Myosin-IIIa,['MYO3A'],MYO3A_HUMAN
Q8WXR4,MYO3B,Myosin-IIIb,['MYO3B'],MYO3B_HUMAN
Q7Z2Y5,NRK,Nik-related protein kinase,['NRK'],NRK_HUMAN
O95747,OXSR1,Serine/threonine-protein kinase OSR1,"['OXSR1', 'KIAA1101', 'OSR1']",OXSR1_HUMAN
Q13153,PAK1,Serine/threonine-protein kinase PAK 1,['PAK1'],PAK1_HUMAN
Q13177,PAK2,Serine/threonine-protein kinase PAK 2,['PAK2'],PAK2_HUMAN
O75914,PAK3,Serine/threonine-protein kinase PAK 3,"['PAK3', 'OPHN3']",PAK3_HUMAN
O96013,PAK4,Serine/threonine-protein kinase PAK 4,"['PAK4', 'KIAA1142']",PAK4_HUMAN
Q9P286,PAK5,Serine/threonine-protein kinase PAK 5,"['PAK5', 'KIAA1264', 'PAK7']",PAK5_HUMAN
Q9NQU5,PAK6,Serine/threonine-protein kinase PAK 6,"['PAK6', 'PAK5']",PAK6_HUMAN
Q96KB5,PBK,Lymphokine-activated killer T-cell-originated protein kinase,"['PBK', 'TOPK']",TOPK_HUMAN
Q9H2G2,SLK,STE20-like serine/threonine-protein kinase,"['SLK', 'KIAA0204', 'STK2']",SLK_HUMAN
O94804,STK10,Serine/threonine-protein kinase 10,"['STK10', 'LOK']",STK10_HUMAN
Q9Y6E0,STK24,Serine/threonine-protein kinase 24,"['STK24', 'MST3', 'STK3']",STK24_HUMAN
O00506,STK25,Serine/threonine-protein kinase 25,"['STK25', 'SOK1', 'YSK1']",STK25_HUMAN
Q9P289,STK26,Serine/threonine-protein kinase 26,"['STK26', 'MASK', 'MST4']",STK26_HUMAN
Q13188,STK3,Serine/threonine-protein kinase 3,"['STK3', 'KRS1', 'MST2']",STK3_HUMAN
Q9UEW8,STK39,STE20/SPS1-related proline-alanine-rich protein kinase,"['STK39', 'SPAK']",STK39_HUMAN
Q13043,STK4,Serine/threonine-protein kinase 4,"['STK4', 'KRS2', 'MST1']",STK4_HUMAN
Q7RTN6,STRADA,STE20-related kinase adapter protein alpha,"['STRADA', 'LYK5', 'STRAD']",STRAA_HUMAN
Q9C0K7,STRADB,STE20-related kinase adapter protein beta,"['STRADB', 'ALS2CR2', 'ILPIP', 'PRO1038']",STRAB_HUMAN
Q7L7X3,TAOK1,Serine/threonine-protein kinase TAO1,"['TAOK1', 'KIAA1361', 'MAP3K16', 'MARKK']",TAOK1_HUMAN
Q9UL54,TAOK2,Serine/threonine-protein kinase TAO2,"['TAOK2', 'KIAA0881', 'MAP3K17', 'PSK', 'PSK1', 'UNQ2971/PRO7431']",TAOK2_HUMAN
Q9H2K8,TAOK3,Serine/threonine-protein kinase TAO3,"['TAOK3', 'DPK', 'JIK', 'KDS', 'MAP3K18']",TAOK3_HUMAN
Q9UKE5,TNIK,TRAF2 and NCK-interacting protein kinase,"['TNIK', 'KIAA0551']",TNIK_HUMAN
Q04771,ACVR1,Activin receptor type-1,"['ACVR1', 'ACVRLK2']",ACVR1_HUMAN
P36896,ACVR1B,Activin receptor type-1B,"['ACVR1B', 'ACVRLK4', 'ALK4']",ACV1B_HUMAN
Q8NER5,ACVR1C,Activin receptor type-1C,"['ACVR1C', 'ALK7']",ACV1C_HUMAN
P27037,ACVR2A,Activin receptor type-2A,"['ACVR2A', 'ACVR2']",AVR2A_HUMAN
Q13705,ACVR2B,Activin receptor type-2B,['ACVR2B'],AVR2B_HUMAN
P37023,ACVRL1,Serine/threonine-protein kinase receptor R3,"['ACVRL1', 'ACVRLK1', 'ALK1']",ACVL1_HUMAN
Q16671,AMHR2,Anti-Muellerian hormone type-2 receptor,"['AMHR2', 'AMHR', 'MISR2']",AMHR2_HUMAN
Q8NFD2,ANKK1,Ankyrin repeat and protein kinase domain-containing protein 1,"['ANKK1', 'PKK2', 'SGK288']",ANKK1_HUMAN
P10398,ARAF,Serine/threonine-protein kinase A-Raf,"['ARAF', 'ARAF1', 'PKS', 'PKS2']",ARAF_HUMAN
P36894,BMPR1A,Bone morphogenetic protein receptor type-1A,"['BMPR1A', 'ACVRLK3', 'ALK3']",BMR1A_HUMAN
O00238,BMPR1B,Bone morphogenetic protein receptor type-1B,['BMPR1B'],BMR1B_HUMAN
Q13873,BMPR2,Bone morphogenetic protein receptor type-2,"['BMPR2', 'PPH1']",BMPR2_HUMAN
P15056,BRAF,Serine/threonine-protein kinase B-raf,"['BRAF', 'BRAF1', 'RAFB1']",BRAF_HUMAN
Q13418,ILK,Integrin-linked protein kinase,"['ILK', 'ILK1', 'ILK2']",ILK_HUMAN
P51617,IRAK1,Interleukin-1 receptor-associated kinase 1,"['IRAK1', 'IRAK']",IRAK1_HUMAN
O43187,IRAK2,Interleukin-1 receptor-associated kinase-like 2,['IRAK2'],IRAK2_HUMAN
Q9Y616,IRAK3,Interleukin-1 receptor-associated kinase 3,['IRAK3'],IRAK3_HUMAN
Q9NWZ3,IRAK4,Interleukin-1 receptor-associated kinase 4,['IRAK4'],IRAK4_HUMAN
Q8IVT5,KSR1,Kinase suppressor of Ras 1,"['KSR1', 'KSR']",KSR1_HUMAN
Q6VAB6,KSR2,Kinase suppressor of Ras 2,['KSR2'],KSR2_HUMAN
P53667,LIMK1,LIM domain kinase 1,"['LIMK1', 'LIMK']",LIMK1_HUMAN
P53671,LIMK2,LIM domain kinase 2,['LIMK2'],LIMK2_HUMAN
Q38SD2,LRRK1,Leucine-rich repeat serine/threonine-protein kinase 1,"['LRRK1', 'KIAA1790']",LRRK1_HUMAN
Q5S007,LRRK2,Leucine-rich repeat serine/threonine-protein kinase 2,"['LRRK2', 'PARK8']",LRRK2_HUMAN
P04049,RAF1,RAF proto-oncogene serine/threonine-protein kinase,"['RAF1', 'RAF']",RAF1_HUMAN
Q13546,RIPK1,Receptor-interacting serine/threonine-protein kinase 1,"['RIPK1', 'RIP', 'RIP1']",RIPK1_HUMAN
O43353,RIPK2,Receptor-interacting serine/threonine-protein kinase 2,"['RIPK2', 'CARDIAK', 'RICK', 'RIP2', 'UNQ277/PRO314/PRO34092']",RIPK2_HUMAN
Q9Y572,RIPK3,Receptor-interacting serine/threonine-protein kinase 3,"['RIPK3', 'RIP3']",RIPK3_HUMAN
P57078,RIPK4,Receptor-interacting serine/threonine-protein kinase 4,"['RIPK4', 'ANKRD3', 'DIK']",RIPK4_HUMAN
Q15569,TESK1,Dual specificity testis-specific protein kinase 1,['TESK1'],TESK1_HUMAN
Q96S53,TESK2,Dual specificity testis-specific protein kinase 2,['TESK2'],TESK2_HUMAN
P36897,TGFBR1,TGF-beta receptor type-1,"['TGFBR1', 'ALK5', 'SKR4']",TGFR1_HUMAN
P37173,TGFBR2,TGF-beta receptor type-2,['TGFBR2'],TGFR2_HUMAN
Q59H18,TNNI3K,Serine/threonine-protein kinase TNNI3K,"['TNNI3K', 'CARK']",TNI3K_HUMAN
Q6ZMQ8,AATK,Serine/threonine-protein kinase LMTK1,"['AATK', 'AATYK', 'KIAA0641', 'LMR1', 'LMTK1']",LMTK1_HUMAN
P00519,ABL1,Tyrosine-protein kinase ABL1,"['ABL1', 'ABL', 'JTK7']",ABL1_HUMAN
P42684,ABL2,Tyrosine-protein kinase ABL2,"['ABL2', 'ABLL', 'ARG']",ABL2_HUMAN
Q9UM73,ALK,ALK tyrosine kinase receptor,['ALK'],ALK_HUMAN
P30530,AXL,Tyrosine-protein kinase receptor UFO,"['AXL', 'UFO']",UFO_HUMAN
P51451,BLK,Tyrosine-protein kinase Blk,['BLK'],BLK_HUMAN
P51813,BMX,Cytoplasmic tyrosine-protein kinase BMX,['BMX'],BMX_HUMAN
Q06187,BTK,Tyrosine-protein kinase BTK,"['BTK', 'AGMX1', 'ATK', 'BPK']",BTK_HUMAN
P07333,CSF1R,Macrophage colony-stimulating factor 1 receptor,"['CSF1R', 'FMS']",CSF1R_HUMAN
P41240,CSK,Tyrosine-protein kinase CSK,['CSK'],CSK_HUMAN
Q08345,DDR1,Epithelial discoidin domain-containing receptor 1,"['DDR1', 'CAK', 'EDDR1', 'NEP', 'NTRK4', 'PTK3A', 'RTK6', 'TRKE']",DDR1_HUMAN
Q16832,DDR2,Discoidin domain-containing receptor 2,"['DDR2', 'NTRKR3', 'TKT', 'TYRO10']",DDR2_HUMAN
P00533,EGFR,Epidermal growth factor receptor,"['EGFR', 'ERBB', 'ERBB1', 'HER1']",EGFR_HUMAN
P21709,EPHA1,Ephrin type-A receptor 1,"['EPHA1', 'EPH', 'EPHT', 'EPHT1']",EPHA1_HUMAN
Q5JZY3,EPHA10,Ephrin type-A receptor 10,['EPHA10'],EPHAA_HUMAN
P29317,EPHA2,Ephrin type-A receptor 2,"['EPHA2', 'ECK']",EPHA2_HUMAN
P29320,EPHA3,Ephrin type-A receptor 3,"['EPHA3', 'ETK', 'ETK1', 'HEK', 'TYRO4']",EPHA3_HUMAN
P54764,EPHA4,Ephrin type-A receptor 4,"['EPHA4', 'HEK8', 'SEK', 'TYRO1']",EPHA4_HUMAN
P54756,EPHA5,Ephrin type-A receptor 5,"['EPHA5', 'BSK', 'EHK1', 'HEK7', 'TYRO4']",EPHA5_HUMAN
Q9UF33,EPHA6,Ephrin type-A receptor 6,"['EPHA6', 'EHK2', 'HEK12']",EPHA6_HUMAN
Q15375,EPHA7,Ephrin type-A receptor 7,"['EPHA7', 'EHK3', 'HEK11']",EPHA7_HUMAN
P29322,EPHA8,Ephrin type-A receptor 8,"['EPHA8', 'EEK', 'HEK3', 'KIAA1459']",EPHA8_HUMAN
P54762,EPHB1,Ephrin type-B receptor 1,"['EPHB1', 'ELK', 'EPHT2', 'HEK6', 'NET']",EPHB1_HUMAN
P29323,EPHB2,Ephrin type-B receptor 2,"['EPHB2', 'DRT', 'EPHT3', 'EPTH3', 'ERK', 'HEK5', 'TYRO5']",EPHB2_HUMAN
P54753,EPHB3,Ephrin type-B receptor 3,"['EPHB3', 'ETK2', 'HEK2', 'TYRO6']",EPHB3_HUMAN
P54760,EPHB4,Ephrin type-B receptor 4,"['EPHB4', 'HTK', 'MYK1', 'TYRO11']",EPHB4_HUMAN
O15197,EPHB6,Ephrin type-B receptor 6,['EPHB6'],EPHB6_HUMAN
P04626,ERBB2,Receptor tyrosine-protein kinase erbB-2,"['ERBB2', 'HER2', 'MLN19', 'NEU', 'NGL']",ERBB2_HUMAN
P21860,ERBB3,Receptor tyrosine-protein kinase erbB-3,"['ERBB3', 'HER3']",ERBB3_HUMAN
Q15303,ERBB4,Receptor tyrosine-protein kinase erbB-4,"['ERBB4', 'HER4']",ERBB4_HUMAN
P16591,FER,Tyrosine-protein kinase Fer,"['FER', 'TYK3']",FER_HUMAN
P07332,FES,Tyrosine-protein kinase Fes/Fps,"['FES', 'FPS']",FES_HUMAN
P11362,FGFR1,Fibroblast growth factor receptor 1,"['FGFR1', 'BFGFR', 'CEK', 'FGFBR', 'FLG', 'FLT2', 'HBGFR']",FGFR1_HUMAN
P21802,FGFR2,Fibroblast growth factor receptor 2,"['FGFR2', 'BEK', 'KGFR', 'KSAM']",FGFR2_HUMAN
P22607,FGFR3,Fibroblast growth factor receptor 3,"['FGFR3', 'JTK4']",FGFR3_HUMAN
P22455,FGFR4,Fibroblast growth factor receptor 4,"['FGFR4', 'JTK2', 'TKF']",FGFR4_HUMAN
P09769,FGR,Tyrosine-protein kinase Fgr,"['FGR', 'SRC2']",FGR_HUMAN
P17948,FLT1,Vascular endothelial growth factor receptor 1,"['FLT1', 'FLT', 'FRT', 'VEGFR1']",VGFR1_HUMAN
P36888,FLT3,Receptor-type tyrosine-protein kinase FLT3,"['FLT3', 'CD135', 'FLK2', 'STK1']",FLT3_HUMAN
P35916,FLT4,Vascular endothelial growth factor receptor 3,"['FLT4', 'VEGFR3']",VGFR3_HUMAN
P42685,FRK,Tyrosine-protein kinase FRK,"['FRK', 'PTK5', 'RAK']",FRK_HUMAN
P06241,FYN,Tyrosine-protein kinase Fyn,['FYN'],FYN_HUMAN
P08631,HCK,Tyrosine-protein kinase HCK,['HCK'],HCK_HUMAN
P08069,IGF1R,Insulin-like growth factor 1 receptor,['IGF1R'],IGF1R_HUMAN
P06213,INSR,Insulin receptor,['INSR'],INSR_HUMAN
P14616,INSRR,Insulin receptor-related protein,"['INSRR', 'IRR']",INSRR_HUMAN
Q08881,ITK,Tyrosine-protein kinase ITK/TSK,"['ITK', 'EMT', 'LYK']",ITK_HUMAN
P23458,JAK1,Tyrosine-protein kinase JAK1,"['JAK1', 'JAK1A', 'JAK1B']",JAK1_HUMAN
O60674,JAK2,Tyrosine-protein kinase JAK2,['JAK2'],JAK2_HUMAN
P52333,JAK3,Tyrosine-protein kinase JAK3,['JAK3'],JAK3_HUMAN
P35968,KDR,Vascular endothelial growth factor receptor 2,"['KDR', 'FLK1', 'VEGFR2']",VGFR2_HUMAN
P10721,KIT,Mast/stem cell growth factor receptor Kit,"['KIT', 'SCFR']",KIT_HUMAN
P06239,LCK,Tyrosine-protein kinase Lck,['LCK'],LCK_HUMAN
Q8IWU2,LMTK2,Serine/threonine-protein kinase LMTK2,"['LMTK2', 'AATYK2', 'BREK', 'KIAA1079', 'KPI2', 'LMR2']",LMTK2_HUMAN
Q96Q04,LMTK3,Serine/threonine-protein kinase LMTK3,"['LMTK3', 'KIAA1883', 'TYKLM3']",LMTK3_HUMAN
P29376,LTK,Leukocyte tyrosine kinase receptor,"['LTK', 'TYK1']",LTK_HUMAN
P07948,LYN,Tyrosine-protein kinase Lyn,"['LYN', 'JTK8']",LYN_HUMAN
P42679,MATK,Megakaryocyte-associated tyrosine-protein kinase,"['MATK', 'CTK', 'HYL']",MATK_HUMAN
Q12866,MERTK,Tyrosine-protein kinase Mer,"['MERTK', 'MER']",MERTK_HUMAN
P08581,MET,Hepatocyte growth factor receptor,['MET'],MET_HUMAN
Q04912,MST1R,Macrophage-stimulating protein receptor,"['MST1R', 'PTK8', 'RON']",RON_HUMAN
O15146,MUSK,"Muscle, skeletal receptor tyrosine-protein kinase",['MUSK'],MUSK_HUMAN
P04629,NTRK1,High affinity nerve growth factor receptor,"['NTRK1', 'MTC', 'TRK', 'TRKA']",NTRK1_HUMAN
Q16620,NTRK2,BDNF/NT-3 growth factors receptor,"['NTRK2', 'TRKB']",NTRK2_HUMAN
Q16288,NTRK3,NT-3 growth factor receptor,"['NTRK3', 'TRKC']",NTRK3_HUMAN
P16234,PDGFRA,Platelet-derived growth factor receptor alpha,"['PDGFRA', 'PDGFR2', 'RHEPDGFRA']",PGFRA_HUMAN
P09619,PDGFRB,Platelet-derived growth factor receptor beta,"['PDGFRB', 'PDGFR', 'PDGFR1']",PGFRB_HUMAN
Q05397,PTK2,Focal adhesion kinase 1,"['PTK2', 'FAK', 'FAK1']",FAK1_HUMAN
Q14289,PTK2B,Protein-tyrosine kinase 2-beta,"['PTK2B', 'FAK2', 'PYK2', 'RAFTK']",FAK2_HUMAN
Q13882,PTK6,Protein-tyrosine kinase 6,"['PTK6', 'BRK']",PTK6_HUMAN
Q13308,PTK7,Inactive tyrosine-protein kinase 7,"['PTK7', 'CCK4']",PTK7_HUMAN
P07949,RET,Proto-oncogene tyrosine-protein kinase receptor Ret,"['RET', 'CDHF12', 'CDHR16', 'PTC', 'RET51']",RET_HUMAN
Q01973,ROR1,Inactive tyrosine-protein kinase transmembrane receptor ROR1,"['ROR1', 'NTRKR1']",ROR1_HUMAN
Q01974,ROR2,Tyrosine-protein kinase transmembrane receptor ROR2,"['ROR2', 'NTRKR2']",ROR2_HUMAN
P08922,ROS1,Proto-oncogene tyrosine-protein kinase ROS,"['ROS1', 'MCF3', 'ROS']",ROS1_HUMAN
P34925,RYK,Tyrosine-protein kinase RYK,"['RYK', 'JTK5A']",RYK_HUMAN
P12931,SRC,Proto-oncogene tyrosine-protein kinase Src,"['SRC', 'SRC1']",SRC_HUMAN
Q9H3Y6,SRMS,Tyrosine-protein kinase Srms,"['SRMS', 'C20orf148']",SRMS_HUMAN
Q6J9G0,STYK1,Tyrosine-protein kinase STYK1,"['STYK1', 'NOK']",STYK1_HUMAN
P43405,SYK,Tyrosine-protein kinase SYK,['SYK'],KSYK_HUMAN
P42680,TEC,Tyrosine-protein kinase Tec,"['TEC', 'PSCTK4']",TEC_HUMAN
Q02763,TEK,Angiopoietin-1 receptor,"['TEK', 'TIE2', 'VMCM', 'VMCM1']",TIE2_HUMAN
P35590,TIE1,Tyrosine-protein kinase receptor Tie-1,"['TIE1', 'TIE']",TIE1_HUMAN
Q13470,TNK1,Non-receptor tyrosine-protein kinase TNK1,['TNK1'],TNK1_HUMAN
Q07912,TNK2,Activated CDC42 kinase 1,"['TNK2', 'ACK1']",ACK1_HUMAN
P42681,TXK,Tyrosine-protein kinase TXK,"['TXK', 'PTK4', 'RLK']",TXK_HUMAN
P29597,TYK2,Non-receptor tyrosine-protein kinase TYK2,['TYK2'],TYK2_HUMAN
Q06418,TYRO3,Tyrosine-protein kinase receptor TYRO3,"['TYRO3', 'BYK', 'DTK', 'RSE', 'SKY', 'TIF']",TYRO3_HUMAN
P07947,YES1,Tyrosine-protein kinase Yes,"['YES1', 'YES']",YES_HUMAN
P43403,ZAP70,Tyrosine-protein kinase ZAP-70,"['ZAP70', 'SRK']",ZAP70_HUMAN
Q2M2I8,AAK1,AP2-associated protein kinase 1,"['AAK1', 'KIAA1048']",AAK1_HUMAN
O14965,AURKA,Aurora kinase A,"['AURKA', 'AIK', 'AIRK1', 'ARK1', 'AURA', 'AYK1', 'BTAK', 'IAK1', 'STK15', 'STK6']",AURKA_HUMAN
Q96GD4,AURKB,Aurora kinase B,"['AURKB', 'AIK2', 'AIM1', 'AIRK2', 'ARK2', 'STK1', 'STK12', 'STK5']",AURKB_HUMAN
Q9UQB9,AURKC,Aurora kinase C,"['AURKC', 'AIE2', 'AIK3', 'AIRK3', 'ARK3', 'STK13']",AURKC_HUMAN
Q9NSY1,BMP2K,BMP-2-inducible protein kinase,"['BMP2K', 'BIKE', 'HRIHFB2017']",BMP2K_HUMAN
O43683,BUB1,Mitotic checkpoint serine/threonine-protein kinase BUB1,"['BUB1', 'BUB1L']",BUB1_HUMAN
O60566,BUB1B,Mitotic checkpoint serine/threonine-protein kinase BUB1 beta,"['BUB1B', 'BUBR1', 'MAD3L', 'SSK1']",BUB1B_HUMAN
Q8N5S9,CAMKK1,Calcium/calmodulin-dependent protein kinase kinase 1,"['CAMKK1', 'CAMKKA']",KKCC1_HUMAN
Q96RR4,CAMKK2,Calcium/calmodulin-dependent protein kinase kinase 2,"['CAMKK2', 'CAMKKB', 'KIAA0787']",KKCC2_HUMAN
O00311,CDC7,Cell division cycle 7-related protein kinase,"['CDC7', 'CDC7L1']",CDC7_HUMAN
O15111,CHUK,Inhibitor of nuclear factor kappa-B kinase subunit alpha,"['CHUK', 'IKKA', 'TCF16']",IKKA_HUMAN
P68400,CSNK2A1,Casein kinase II subunit alpha,"['CSNK2A1', 'CK2A1']",CSK21_HUMAN
P19784,CSNK2A2,Casein kinase II subunit alpha',"['CSNK2A2', 'CK2A2']",CSK22_HUMAN
Q8NEV1,CSNK2A3,Casein kinase II subunit alpha 3,"['CSNK2A3', 'CSNK2A1P']",CSK23_HUMAN
Q6XUX3,DSTYK,Dual serine/threonine and tyrosine protein kinase,"['DSTYK', 'KIAA0472', 'RIP5', 'RIPK5', 'SGK496', 'HDCMD38P']",DUSTY_HUMAN
Q9BQI3,EIF2AK1,Eukaryotic translation initiation factor 2-alpha kinase 1,"['EIF2AK1', 'HRI', 'KIAA1369', 'PRO1362']",E2AK1_HUMAN
P19525,EIF2AK2,"Interferon-induced, double-stranded RNA-activated protein kinase","['EIF2AK2', 'PKR', 'PRKR']",E2AK2_HUMAN
Q9NZJ5,EIF2AK3,Eukaryotic translation initiation factor 2-alpha kinase 3,"['EIF2AK3', 'PEK', 'PERK']",E2AK3_HUMAN
Q9P2K8,EIF2AK4,eIF-2-alpha kinase GCN2,"['EIF2AK4', 'GCN2', 'KIAA1338']",E2AK4_HUMAN
O75460,ERN1,Serine/threonine-protein kinase/endoribonuclease IRE1,"['ERN1', 'IRE1']",ERN1_HUMAN
Q76MJ5,ERN2,Serine/threonine-protein kinase/endoribonuclease IRE2,"['ERN2', 'IRE2']",ERN2_HUMAN
O14976,GAK,Cyclin-G-associated kinase,['GAK'],GAK_HUMAN
Q8TF76,HASPIN,Serine/threonine-protein kinase haspin,"['HASPIN', 'GSG2']",HASP_HUMAN
O14920,IKBKB,Inhibitor of nuclear factor kappa-B kinase subunit beta,"['IKBKB', 'IKKB']",IKKB_HUMAN
Q14164,IKBKE,Inhibitor of nuclear factor kappa-B kinase subunit epsilon,"['IKBKE', 'IKKE', 'IKKI', 'KIAA0151']",IKKE_HUMAN
Q8NB16,MLKL,Mixed lineage kinase domain-like protein,['MLKL'],MLKL_HUMAN
P00540,MOS,Proto-oncogene serine/threonine-protein kinase mos,['MOS'],MOS_HUMAN
Q9UHY1,NRBP1,Nuclear receptor-binding protein,"['NRBP1', 'BCON3', 'NRBP']",NRBP_HUMAN
Q9NSY0,NRBP2,Nuclear receptor-binding protein 2,"['NRBP2', 'PP9320', 'TRG16']",NRBP2_HUMAN
Q58A45,PAN3,PAN2-PAN3 deadenylation complex subunit PAN3,['PAN3'],PAN3_HUMAN
Q8N165,PDIK1L,Serine/threonine-protein kinase PDIK1L,"['PDIK1L', 'CLIK1L']",PDK1L_HUMAN
Q9H792,PEAK1,Inactive tyrosine-protein kinase PEAK1,"['PEAK1', 'KIAA2002']",PEAK1_HUMAN
Q99570,PIK3R4,Phosphoinositide 3-kinase regulatory subunit 4,"['PIK3R4', 'VPS15']",PI3R4_HUMAN
Q9BXM7,PINK1,"Serine/threonine-protein kinase PINK1, mitochondrial",['PINK1'],PINK1_HUMAN
Q504Y2,PKDCC,Extracellular tyrosine-protein kinase PKDCC,"['PKDCC', 'SGK493', 'VLK']",PKDCC_HUMAN
Q99640,PKMYT1,Membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase,"['PKMYT1', 'MYT1']",PMYT1_HUMAN
P53350,PLK1,Serine/threonine-protein kinase PLK1,"['PLK1', 'PLK']",PLK1_HUMAN
Q9NYY3,PLK2,Serine/threonine-protein kinase PLK2,"['PLK2', 'SNK']",PLK2_HUMAN
Q9H4B4,PLK3,Serine/threonine-protein kinase PLK3,"['PLK3', 'CNK', 'FNK', 'PRK']",PLK3_HUMAN
O00444,PLK4,Serine/threonine-protein kinase PLK4,"['PLK4', 'SAK', 'STK18']",PLK4_HUMAN
Q496M5,PLK5,Inactive serine/threonine-protein kinase PLK5,"['PLK5', 'PLK5P', 'FG060302']",PLK5_HUMAN
Q9H5K3,POMK,Protein O-mannose kinase,"['POMK', 'SGK196']",SG196_HUMAN
Q86YV5,PRAG1,Inactive tyrosine-protein kinase PRAG1,"['PRAG1', 'SGK223']",PRAG1_HUMAN
Q7Z7A4,PXK,PX domain-containing protein kinase-like protein,['PXK'],PXK_HUMAN
Q05823,RNASEL,2-5A-dependent ribonuclease,"['RNASEL', 'RNS4']",RN5A_HUMAN
Q96S38,RPS6KC1,Ribosomal protein S6 kinase delta-1,"['RPS6KC1', 'RPK118']",KS6C1_HUMAN
Q9Y6S9,RPS6KL1,Ribosomal protein S6 kinase-like 1,['RPS6KL1'],RPKL1_HUMAN
Q96LW2,RSKR,Ribosomal protein S6 kinase-related protein,"['RSKR', 'SGK494']",KS6R_HUMAN
Q52WX2,SBK1,Serine/threonine-protein kinase SBK1,['SBK1'],SBK1_HUMAN
P0C263,SBK2,Serine/threonine-protein kinase SBK2,"['SBK2', 'SGK069']",SBK2_HUMAN
P0C264,SBK3,Uncharacterized serine/threonine-protein kinase SBK3,"['SBK3', 'SGK110']",SBK3_HUMAN
